Id	Metabolism	Metabolism__colour	Metabolism__shape	Genome	Function	Copies__autocolour
6666666_111007_3256	Central metabolism	Red	circle	Gordonia Neofelifaecis Nrrl B-59395 AEUD01	FIG146518_Zn_dependent_hydrolases_including_glyoxylases	2
6666666_104603_2144	Central metabolism	Red	circle	Leucobacter sp. PH1c AYMV01	FIG056164_rhomboid_family_serine_protease	2
6666666_111527_2805	Central metabolism	Red	circle	Leucobacter komagatae JXSQ01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_104633_1066	Central metabolism	Red	circle	Leucobacter sp. UCD-THU APJM01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_112858_6081	Central metabolism	Red	circle	Streptomyces sp. NRRL F-5727 JOGX01	putative_integral_membrane_transport_protein	2
6666666_112847_4452	Central metabolism	Red	circle	Streptomyces sp. NRRL F-5193 JOHZ01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_112798_1411	Central metabolism	Red	circle	Microtetraspora glauca JOFO01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_146849_283	Central metabolism	Red	circle	Streptomyces vietnamensis strain GIM4.0001 NZ_CP010407.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_113178_2242	Central metabolism	Red	circle	Streptomyces wedmorensis JNWK01	IS493_like_transposase	2
6666666_103580_5695	Central metabolism	Red	circle	Roseiflexus castenholzii NC_009767.1	Uracil_DNA_glycosylase_superfamily_protein	2
6666666_111514_1485	Central metabolism	Red	circle	Jonesia quinghaiensis DSM 15701 AUHN01	ABC_type_multidrug_transport_system_ATPase_and_permease_components	2
6666666_102785_4969	Central metabolism	Red	circle	Nocardia otitidiscaviarum IFM 11049 BATZ01	hypothetical_protein	2
6666666_102760_491	Central metabolism	Red	circle	Nocardia otitidiscaviarum NBRC 14405 BAGD01	putative_3_oxoadipate_enol_lactone_hydrolase_4_carboxymuconolactone_decarboxylase	2
6666666_112809_2915	Central metabolism	Red	circle	Actinoalloteichus spitiensis RMV-1378 AGVX02	Preprotein_translocase_subunit_SecG__TC_3.A.5.1.1_	2
6666666_104683_3737	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Actinoalloteichus cyanogriseus DSM 43889 AUBJ01	Alanyl_tRNA_synthetase__EC_6.1.1.7_	2
6666666_104692_2666	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Actinoalloteichus cyanogriseus NRRL B-2194 JODV01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_104664_3656	Central metabolism	Red	circle	Actinoalloteichus cyanogriseus NRRL ISP-5103 JOAL01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_113148_2849	Central metabolism	Red	circle	Streptomyces sp. NRRL S-1777 JOGY01	1_deoxy_D_xylulose_5_phosphate_reductoisomerase__EC_1.1.1.267_	2
6666666_104626_2133	Central metabolism	Red	circle	Leucobacter chironomi DSM 19883 ATXU01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_111471_487	Central metabolism	Red	circle	Dermatophilus congolensis DSM 44180 = NBRC 105199 AUCS01	hypothetical_protein	2
6666666_147107_927	Central metabolism	Red	circle	Jonesia denitrificans DSM 20603 NC_013174.1	FIG01128929_hypothetical_protein	2
6666666_106697_1657	Central metabolism	Red	circle	Brachybacterium phenoliresistens W13A50 JDYK01	5_Enolpyruvylshikimate_3_phosphate_synthase__EC_2.5.1.19_	2
6666666_104713_6452	Central metabolism	Red	circle	Actinokineospora inagensis DSM 44258 AXWW01	Nickel_dependent_superoxide_dismutase__EC_1.15.1.1_	2
1449976_6_3842	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Kutzneria albida DSM 43870 NZ_CP007155.1	Peptidase_M20D_amidohydrolase__EC_3.5.1.32_	2
6666666_104686_1414	Central metabolism	Red	circle	Kutzneria albida NRRL B-24060 JNYH01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_146912_4009	Central metabolism	Red	circle	Saccharothrix espanaensis DSM 44229 NC_019673.1	Ribonuclease_D__EC_3.1.26.3_	2
6666666_105527_1501	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Saccharothrix syringae JNYO01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_148798_7932	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Saccharothrix syringae NRRL B-16468 NZ_JNYO01000004	Glutamate__cysteine_ligase_EgtA	2
6666666_148793_5931	Central metabolism	Red	circle	Saccharothrix sp NRRL B-16348 LGED01	Hydrolase_alpha_beta_fold_family	2
6666666_105524_528	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Saccharothrix sp. NRRL B-16314 JNXC01	hypothetical_protein	2
6666666_112811_3816	Central metabolism	Red	circle	Allokutzneria albata JOEF01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_104471_999	Central metabolism	Red	circle	Amycolatopsis sp. ATCC 39116 AFWY03	hypothetical_protein	2
6666666_147097_4591	Central metabolism	Red	circle	Amycolatopsis methanolica 239 NZ_CP009110.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_104511_346	Central metabolism	Red	circle	Amycolatopsis thermoflava N1165 AXBH01	Siderophore_biosynthesis_L_24_diaminobutyrate_decarboxylase	2
6666666_104730_9830	Central metabolism	Red	circle	Kibdelosporangium sp. MJ126-NF4 CDME01	Alkanal_monooxygenase_alpha_chain__EC_1.14.14.3_	3
446462_15_2912	Central metabolism	Red	circle	Actinosynnema mirum DSM 43827 NC_013093.1 NC_021252.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_148923_1326	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Lentzea albidocapillata NRRL B-24057 NZ_JOEA00000000	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_104716_7025	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Lentzea albidocapillata JOEA01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_149161_4862	Central metabolism	Red	circle	Lechevalieria aerocolonigenes NRRLB16140 JYJG01	membrane_transport_protein	3
6666666_148777_1164	Central metabolism	Red	circle	Lentzea sp CC55 LAB	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_104684_988	Central metabolism	Red	circle	Lechevalieria aerocolonigenes JOFI01	Substrate_specific_component_NikM_of_nickel_ECF_transporter	3
6666666_149162_8923	Central metabolism	Red	circle	Lechevalieria aerocolonigenes NRRLB3298 JOFI01	hypothetical_protein	3
6666666_104740_2133	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Actinokineospora enzanensis DSM 44649 ARFV01	probable_oxidoreductase_Short_chain_dehydrogenase	2
6666666_148926_5883	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Actinokieospora sp CCPR83 LAB	transcriptional_regulator_SARP_family	3
6666666_104721_77	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Actinokineospora sp. EG49 AYXG01	Adenine_phosphoribosyltransferase__EC_2.4.2.7_	2
6666666_103575_618	Central metabolism	Red	circle	Anaerolinea thermophila UNI-1 DNA NC_014960.1	PucC_protein	2
6666666_103577_3342	Central metabolism	Red	circle	Caldilinea aerophila DSM 14535 NC_017079.1	hypothetical_protein	2
6666666_147172_1162	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Acidimicrobium ferrooxidans DSM 10331 NC_013124.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_146901_1253	Central metabolism	Red	circle	Actinobacteria bacterium IMCC26256 NZ_CP011489.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_147151_2480	Central metabolism	Red	circle	Ilumatobacter coccineus YM16-304 NC_020520.1	transcriptional_regulator_SARP_family	2
6666666_104518_3418	Central metabolism	Red	circle	Rhodococcus rhodnii JOAA01	Mobile_element_protein	2
6666666_104229_6500	Central metabolism	Red	circle	Streptomyces sp. NRRL F-5008 JOHW01	Maltose_maltodextrin_ABC_transporter_substrate_binding_periplasmic_protein_MalE	2
6666666_113151_8090	Central metabolism	Red	circle	Streptomyces fulvoviolaceus JOEY01	S_adenosylhomocysteine_deaminase__EC_3.5.4.28__Methylthioadenosine_deaminase	2
6666666_113140_5226	Central metabolism	Red	circle	Streptomyces galbus JRHJ01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_112922_4189	Central metabolism	Red	circle	Streptomyces scabiei NCPPB 4066 JPPW01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_119647_8083	Central metabolism	Red	circle	Streptomyces scabiei sp 87.22 NC_013929.1	hypothetical_protein	2
6666666_112857_107	Central metabolism	Red	circle	Streptomyces bottropensis ATCC 25435 ARTP01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_104355_6754	Central metabolism	Red	circle	Streptomyces sp. NRRL WC-3774 JOBZ01	Gluconokinase__EC_2.7.1.12_	2
6666666_104731_1284	Central metabolism	Red	circle	Streptomyces Resistomycificus JOBA01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_113185_3574	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Streptomyces purpureus KA281 ARAD01	RNA_polymerase_sigma_70_factor	2
6666666_113236_1725	Central metabolism	Red	circle	Streptomyces sp. CNT302 ARIM01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_113113_2035	Central metabolism	Red	circle	Streptomyces sp. CNS615 AQPE01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_113265_4604	Central metabolism	Red	circle	Streptomyces sp. CNR698 AZXC01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_146851_887	Central metabolism	Red	circle	Thermomonospora curvata DSM 43183 NC_013510.1	dnaK_suppressor_putative	2
6666666_102791_8105	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Nocardia jiangxiensis NBRC 101359 BAGB01	Aldehyde_dehydrogenase__EC_1.2.1.3_	2
6666666_70537_6996	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Streptomyces mauvecolor LAB	nitroreductase	3
6666666_113076_341	Central metabolism	Red	circle	Streptomyces sp. NRRL S-87 JOGB01	3_isopropylmalate_dehydrogenase__EC_1.1.1.85_	2
6666666_113247_1959	Central metabolism	Red	circle	Streptomyces xanthophaeus JNZH01	Glycosyl_transferase_family_2	2
6666666_112898_3539	Central metabolism	Red	circle	Streptomyces sp. C ACEW01	Phosphoadenylyl_sulfate_reductase_thioredoxin__EC_1.8.4.8____Adenylyl_sulfate_reductase_thioredoxin__EC_1.8.4.10_	2
6666666_113210_3500	Central metabolism	Red	circle	Streptomyces sp. NRRL S-244 JOCX01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_113226_785	Central metabolism	Red	circle	Streptomyces sp. NRRL F-4474 JOIB01	Trans_aconitate_2_methyltransferase__EC_2.1.1.144_	2
6666666_70542_3591	Central metabolism	Red	circle	Streptomyces roseus LAB	Glycosyl_transferase_family_2	3
6666666_113177_3898	Central metabolism	Red	circle	Streptomyces sp. NRRL S-378 JOBX01	Serine_phosphatase_RsbU_regulator_of_sigma_subunit	2
6666666_146900_3333	Central metabolism	Red	circle	Streptomyces sp. Mg1 NZ_CP011664.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_113214_3984	Central metabolism	Red	circle	Streptomyces sp. NRRL S-241 JOCY01	D_serine_D_alanine_glycine_transporter	2
6666666_113258_1632	Central metabolism	Red	circle	Streptomyces sp. NRRL F-4335 JOFY01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_112973_3344	Central metabolism	Red	circle	Streptomyces sp. NRRL S-575 JODJ01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_112944_682	Central metabolism	Red	circle	Streptomyces sp. NRRL S-515 JODE01	Asparagine_synthetase_glutamine_hydrolyzing__EC_6.3.5.4_	2
6666666_113048_2065	Central metabolism	Red	circle	Streptomyces sp. NRRL S-237 JODA01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_113024_2084	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Streptomyces sp. NRRL F-2580 JOIR01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_112949_3148	Central metabolism	Red	circle	Streptomyces sp. NRRL F-2664 JOFX01	protein_of_unknown_function_DUF350	2
6666666_113297_1110	Central metabolism	Red	circle	Streptomyces sp. NRRL B-1322 JOHF01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_113153_2382	Central metabolism	Red	circle	Streptomyces lavendulae subsp. lavendulae JOBU01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_113171_4196	Central metabolism	Red	circle	Streptomyces Flavotricini JNXV01	Methyltransferase__EC_2.1.1.__	2
6666666_113264_702	Central metabolism	Red	circle	Streptomyces virginiae JOAK01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_113251_4172	Central metabolism	Red	circle	Streptomyces sp. NRRL S-98 JOJD01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_112880_2196	Central metabolism	Red	circle	Streptomyces sp. PCS3-D2 JDUZ01	PROBABLE_CONSERVED_INTEGRAL_MEMBRANE_ALANINE_AND_LEUCINE_RICH_PROTEIN	2
6666666_112984_1196	Central metabolism	Red	circle	Streptomyces erythrochromogenes JNZG01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_113099_3260	Central metabolism	Red	circle	Streptomyces katrae JNZY01	FIG01133261_hypothetical_protein	2
6666666_112967_6851	Central metabolism	Red	circle	Streptomyces sp. NRRL F-2747 JOIS01	FIG01126852_hypothetical_protein	2
6666666_112815_1848	Central metabolism	Red	circle	Kitasatospora Sp. Mbt66 JAIY01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_112894_4310	Central metabolism	Red	circle	Streptomyces purpeofuscus JODS01	putative_membrane_protein	2
6666666_112789_3396	Central metabolism	Red	circle	Streptosporangium roseum NRRL B-2638 JOEP01	Oxidoreductase	2
6666666_112795_7059	Central metabolism	Red	circle	Streptosporangium amethystogenes JOEQ01	Lipid_A_export_ATP_binding_permease_protein_MsbA	2
6666666_147088_3564	Central metabolism	Red	circle	Streptosporangium roseum DSM 43021 NC_013595.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_112783_8093	Central metabolism	Red	circle	Nonomuraea coxensis DSM 45129 ARBV01	Lactoylglutathione_lyase_and_related_lyases	2
6666666_112794_8133	Central metabolism	Red	circle	Nonomuraea candida JOAG01	epoxide_hydrolase	2
6666666_104519_1815	Central metabolism	Red	circle	Arthrobacter sp. W1 JWMD01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_104477_427	Central metabolism	Red	circle	Arthrobacter sp. PAO19 ATKN01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_146813_2803	Central metabolism	Red	circle	Arthrobacter arilaitensis RE117 NC_014550.1	Membrane_associated_zinc_metalloprotease	2
6666666_146823_2167	Central metabolism	Red	circle	Streptomyces niveus NCIMB 11891 NZ_CM002280.1	FIG00818182_hypothetical_protein	2
6666666_113133_6211	Central metabolism	Red	circle	Streptomyces sp. NRRL F-6131 JOHN01	Beta_glucosidase__EC_3.2.1.21_	2
6666666_104349_4363	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Streptomyces sp. TAA040 AUKR01	Homoserine_kinase__EC_2.7.1.39_	2
6666666_104715_6749	Central metabolism	Red	circle	Streptomyces Ipomoeae 91-03 AEJC01	FIG01126750_hypothetical_protein	2
6666666_103276_1093	Central metabolism	Red	circle	Streptomyces sp. 351MFTsu5.1 ARTS01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_104154_4111	Central metabolism	Red	circle	Streptomyces sp. NRRL B-3229 JOGP01	Chorismate_synthase__EC_4.2.3.5_	2
6666666_147124_3831	Central metabolism	Red	circle	Streptomyces sviceus ATCC 29083 NZ_CM000951.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_103153_3770	Central metabolism	Red	circle	Streptomyces canus 299MFChir4.1 ARTQ01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_103258_4121	Central metabolism	Red	circle	Streptomyces lilacinus JNXU01	hypothetical_protein	3
6666666_146874_3818	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Alloactinosynnema sp. L-07 LN850107.1	sensor_histidine_kinase	2
6666666_104528_2941	Central metabolism	Red	circle	Rhodococcus triatomae BKS 15-14 AODO01	34_dihydroxy_2_butanone_4_phosphate_synthase__EC_4.1.99.12____GTP_cyclohydrolase_II__EC_3.5.4.25_	2
6666666_104474_4277	Central metabolism	Red	circle	Rhodococcus pyridinivorans AK37 AHBW01	6_phosphofructokinase__EC_2.7.1.11_	2
6666666_147154_3174	Central metabolism	Red	circle	Rhodococcus pyridinivorans SB3094 NC_023150.1	Epoxide_hydrolase__EC_3.3.2.9_	2
6666666_104448_5815	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Rhodococcus wratislaviensis NBRC 100605 BAWF01	Possible_multi_functional_enzyme_with_acyl_CoA_reductase_activity_AcrA1	2
6666666_104457_3545	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Rhodococcus imtechensis RKJ300 = JCM 13270 AJJH01	3_oxoacyl_acyl_carrier_protein_reductase__EC_1.1.1.100_	2
101510_30_5254	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Rhodococcus jostii RHA1 NC_008268.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
632772_10_5011	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Rhodococcus opacus B4 NC_012522.1	iron_chelator_utilization_protein	2
6666666_147102_5012	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Rhodococcus erythropolis PR4 NC_012490.1	hypothetical_protein	2
6666666_104534_1203	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Rhodococcus erythropolis R138 ASKF01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_104466_4561	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Rhodococcus opacus NRRL B-24011 JOIM01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_104503_1668	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Rhodococcus qingshengii BKS 20-40 AODN01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_104452_5934	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Rhodococcus erythropolis SK121 ACNO01	Ferric_enterobactin_binding_periplasmic_protein_FepB__TC_3.A.1.14.2_	2
6666666_104538_5677	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Rhodococcus rhodochrous JNWS01	C_terminal_domain_of_CinA_type_S	2
6666666_104530_4437	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Rhodococcus erythropolis XP AGCF01	FIG00994438_hypothetical_protein	2
6666666_147125_1740	Central metabolism	Red	circle	Streptomyces nodosus strain ATCC 14899 NZ_CP009313.1	protein_serine_threonine_kinase	2
290340_24_3617	Central metabolism	Red	circle	Arthrobacter aurescens TC1 NC_008711.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_104439_451	Central metabolism	Red	circle	Arthrobacter sp. MWB30 JPZK01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
930171_11_3591	Central metabolism	Red	circle	Arthrobacter phenanthrenivorans Sphe3 NC_015145.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
452863_24_3526	Central metabolism	Red	circle	Arthrobacter chlorophenolicus A6 NC_011886.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_104524_4191	Central metabolism	Red	circle	Arthrobacter siccitolerans CAQI01	tRNA_Ser_CGA	2
6666666_104484_284	Central metabolism	Red	circle	Arthrobacter phenanthrenivorans JWTB01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_147082_3874	Central metabolism	Red	circle	Arthrobacter sp. FB24 NC_008541.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_104516_3853	Central metabolism	Red	circle	Arthrobacter sp. MA-N2 AQRI01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_104488_264	Central metabolism	Red	circle	Arthrobacter sp. UNC362MFTsu51 JMLE01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_111518_205	Central metabolism	Red	circle	Frigoribacterium sp. MEB024 JXQZ01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_104489_4034	Central metabolism	Red	circle	Arthrobacter gangotriensis Lz1y AOCK01	hypothetical_protein	2
6666666_111567_1752	Central metabolism	Red	circle	Salinibacterium sp. PAMC 21357 AHWA01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_104644_2449	Central metabolism	Red	circle	Leifsonia rubra CMS 76R ATIA01	probable_oxidoreductase_Short_chain_dehydrogenase	2
6666666_111159_4003	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Tsukamurella paurometabola NC_014158.1	FIG01194007_hypothetical_protein	2
6666666_111523_2932	Central metabolism	Red	circle	Herbiconiux sp. YR403 JUGL01	O_acetylhomoserine_sulfhydrylase__EC_2.5.1.49____O_succinylhomoserine_sulfhydrylase__EC_2.5.1.48_	2
6666666_111162_2743	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Tsukamurella sp. 1534 CAJY01	hypothetical_protein	2
6666666_106698_5641	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Kineosporia aurantiaca JCM 3230 JODP01	alpha_beta_hydrolase_fold	2
6666666_146902_1231	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Scardovia inopinata JCM 12537 NZ_AP012334.1	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_146861_670	Central metabolism	Red	circle	Olsenella sp. oral taxon 807 CP012069.2	Twin_arginine_translocation_protein_TatB	2
6666666_105568_1550	Central metabolism	Red	circle	Olsenella profusa F0195 AWEZ01	CDP_diacylglycerol__glycerol_3_phosphate_3_phosphatidyltransferase__EC_2.7.8.5_	2
6666666_111568_2189	Central metabolism	Red	circle	Gulosibacter molinativorax DSM 13485 AUDX01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	1
6666666_110183_111	Central metabolism	Red	circle	Corynebacterium sputi dsm 45148 ATYV01	Phosphoribosylanthranilate_isomerase__EC_5.3.1.24_	2
6666666_111006_792	Central metabolism	Red	circle	Gordonia Hirsuta Dsm 44140 = Nbrc 16056 BANT01	Thioredoxin_reductase__EC_1.8.1.9_	2
BGC0001041_ABP53510	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0001041_ABP53510	Natural Products	1
BGC0000315_CAB38581	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0000315_CAB38581	Natural Products	1
BGC0001345_AAG31131	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0001345_AAG31131	Natural Products	1
BGC0000679_EWM63063	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0000679_EWM63063	Natural Products	1
BGC0001798_AVV48275	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0001798_AVV48275	Natural Products	1
BGC0001487_AWF83806	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0001487_AWF83806	Natural Products	1
BGC0001302_AKC91613	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0001302_AKC91613	Natural Products	1
BGC0000698_ABC42564	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0000698_ABC42564	Natural Products	1
BGC0001814_ATU31810	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0001814_ATU31810	Natural Products	1
BGC0001213_EYT83449	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0001213_EYT83449	Natural Products	1
BGC0000935_AFB35633	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0000935_AFB35633	Natural Products	1
BGC0001759_AWH12660	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0001759_AWH12660	Natural Products	1
BGC0000446_CDG76956	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0000446_CDG76956	Natural Products	1
BGC0001805_CDG76956	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0001805_CDG76956	Natural Products	1
BGC0001637_ATJ04408	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0001637_ATJ04408	Natural Products	1
BGC0001666_ATY46605	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0001666_ATY46605	Natural Products	1
BGC0001287_CQR60490	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0001287_CQR60490	Natural Products	1
BGC0000106_ADM46364	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0000106_ADM46364	Natural Products	1
BGC0001785_ASZ00154	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0001785_ASZ00154	Natural Products	1
BGC0000137_ABV97159	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0000137_ABV97159	Natural Products	1
BGC0000141_CAI94725	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0000141_CAI94725	Natural Products	1
BGC0001292_ALE27510	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0001292_ALE27510	Natural Products	1
