Id	Metabolism	Metabolism__colour	Metabolism__shape	Genome	Function	Copies__autocolour
6666666_212291_406	Central metabolism	Red	circle	Spirulina subsalsa PCC 9445 PCC 9445 ALVR01	hypothetical_protein	2
6666666_212119_2234	Central metabolism	Red	circle	Acaryochloris sp CCMEE 5410 CCMEE 5410 AFEJ01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212472_1401	Central metabolism	Red	circle	Acaryochloris marina MBIC11017 CP000828.1	ADP_ribose_pyrophosphatase__EC_3.6.1.13_	2
6666666_212418_1829	Central metabolism	Red	circle	Dactylococcopsis salina PCC 8305 CP003944.1	Pyrroline_5_carboxylate_reductase__EC_1.5.1.2_	1
6666666_212428_2224	Central metabolism	Red	circle	Halothece sp. PCC 7418 CP003945.1	Cell_division_topological_specificity_factor_MinE	2
6666666_212426_4707	Central metabolism	Red	circle	Chamaesiphon minutus PCC 6605 CP003600.1	hypothetical_protein	2
6666666_212405_4403	Central metabolism	Red	circle	Gloeocapsa sp. PCC 7428 CP003646.1	Carbon_dioxide_concentrating_mechanism_protein_CcmO	1
6666666_212227_4646	Central metabolism	Red	circle	Fortiea contorta PCC 7126 PCC 7126 ANFJ01	hypothetical_protein	2
6666666_212484_1870	Central metabolism	Red	circle	Calothrix sp. PCC 7507 CP003943.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	1
6666666_212066_6681	Central metabolism	Red	circle	Scytonema hofmannii PCC 7110 PCC 7110 ANNX02	Ankyrin	1
6666666_212261_6851	Central metabolism	Red	circle	Tolypothrix bouteillei VB521301 VB521301 JHEG02	hypothetical_protein	1
6666666_212330_4959	Central metabolism	Red	circle	Mastigocladopsis repens PCC 10914 PCC 10914 ALVW01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	1
6666666_212332_5949	Central metabolism	Red	circle	Scytonema tolypothrichoides VB_61278 VB_61278 JXCA01	hypothetical_protein	2
6666666_212294_2724	Central metabolism	Red	circle	Tolypothrix campylonemoides VB511288 VB511288 JXCB01	Site_specific_recombinases_DNA_invertase_Pin_homologs	3
6666666_212062_7058	Central metabolism	Red	circle	Tolypothrix sp PCC 7601 UTEX B 481 AGCR01	Cytochrome_b6_f_complex_iron_sulfur_subunit_PetC1__Rieske_iron_sulfur_protein_EC_1.10.9.1_	2
6666666_212309_1098	Central metabolism	Red	circle	Scytonema hofmanni UTEX 2349 UTEX 2349 ALWD01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212142_9295	Central metabolism	Red	circle	Hassallia byssoidea VB512170 VB512170 JTCM01	FIG00556355_hypothetical_protein	5
6666666_212458_59	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Nostoc punctiforme PCC 73102 CP001037.1	Phosphoenolpyruvate_synthase__EC_2.7.9.2_	2
6666666_212230_7161	Central metabolism	Red	circle	Nostoc sp KVJ20 KVJ20 LSSA01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212265_4338	Central metabolism	Red	circle	Chrysosporum ovalisporum UAM_MAO CDHJ01	syc1954_c	2
6666666_212414_1558	Central metabolism	Red	circle	Nodularia spumigena CCY9414 CP007203.2	hypothetical_protein	2
6666666_212334_4381	Central metabolism	Red	circle	Nodularia spumigena CCY9414 CCY9414 AAVW01	RcaG_protein	1
6666666_212306_323	Central metabolism	Red	circle	Nodularia spumigena CENA596 CENA596 LWAJ01	hypothetical_protein	2
6666666_212449_2277	Central metabolism	Red	circle	Nostoc sp. PCC 7524 CP003552.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212249_969	Central metabolism	Red	circle	Anabaena sp CA = ATCC 33047 ATCC 33047 LUHI01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212200_4739	Central metabolism	Red	circle	Anabaena sp 4_3 4_3 LUHJ01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212447_1071	Central metabolism	Red	circle	Nostoc sp. NIES-3756 AP017295.1	hypothetical_protein	2
6666666_212429_4928	Central metabolism	Red	circle	Nostoc sp. PCC 7120 BA000019.2	CAB_ELIP_HLIP_superfamily	2
6666666_212224_4967	Central metabolism	Red	circle	Anabaena sp 39858 LJOR01	tRNA_Cys_GCA	2
6666666_212388_3781	Central metabolism	Red	circle	Anabaena variabilis ATCC 29413 CP000117.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212382_733	Central metabolism	Red	circle	Nostoc piscinale CENA21 CP012036.1	hypothetical_protein	1
6666666_212395_3909	Central metabolism	Red	circle	Nostoc sp. PCC 7107 CP003548.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212110_2964	Central metabolism	Red	circle	Nostoc sp MBR 210 MBRD01	FIG052964_hypothetical_protein	1
6666666_212456_3845	Central metabolism	Red	circle	Cylindrospermum stagnale PCC 7417 CP003642.1	Adenylate_cyclase__EC_4.6.1.1_	2
6666666_212383_1769	Central metabolism	Red	circle	Anabaena cylindrica PCC 7122 CP003659.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	1
6666666_212296_2760	Central metabolism	Red	circle	Anabaena sp PCC 7108 PCC 7108 AJWF01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	1
6666666_212387_570	Central metabolism	Red	circle	Anabaena sp. wa102 CP011456.1	Phycobilisome_small_core_linker_polypeptide	2
6666666_212133_1792	Central metabolism	Red	circle	Anabaena sp WA93 LJOU01	Gas_vesicle_protein	2
6666666_212218_1208	Central metabolism	Red	circle	Anabaena sp 39864 LJOQ01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212356_803	Central metabolism	Red	circle	Anabaena sp MDT14b LJOV01	photosystem_I_P700_chlorophyll_a_apoprotein_subunit_Ia__PsaA_	2
6666666_212364_1536	Central metabolism	Red	circle	Anabaena sp 39865 LJOP01	Magnesium_and_cobalt_efflux_protein_CorC	2
6666666_212213_570	Central metabolism	Red	circle	Dolichospermum circinale AWQC131C AWQC131C APIY01	hypothetical_protein	2
6666666_212103_1006	Central metabolism	Red	circle	Anabaena sp CRKS33 LJOT01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212156_2641	Central metabolism	Red	circle	Dolichospermum circinale AWQC310F AWQC310F APIZ01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212109_4162	Central metabolism	Red	circle	Aphanizomenon flos_aquae MDT14a LJOX01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212355_1823	Central metabolism	Red	circle	Aphanizomenon flos_aquae UKL13_PB LTEC01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	1
6666666_212205_1877	Central metabolism	Red	circle	Aphanizomenon flos_aquae MDT13 LJOY01	FIG00871881_hypothetical_protein	2
6666666_212243_3129	Central metabolism	Red	circle	Aphanizomenon flos_aquae WA102 LJOW01	Squalene__hopene_cyclase__EC_5.4.99.17_	2
6666666_212348_1071	Central metabolism	Red	circle	Anabaena sp WA113 LJOS01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212221_6057	Central metabolism	Red	circle	Aphanizomenon flos_aquae 2012/KM1/D3 2012/KM1/D3 JSDP01	hypothetical_protein	3
6666666_212220_1633	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Aphanizomenon flos_aquae NIES_81 NIES_81 AZYY01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212093_2726	Central metabolism	Red	circle	Raphidiopsis brookii D9 D9 ACYB01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212161_3103	Central metabolism	Red	circle	Cylindrospermopsis raciborskii ITEP_A1 ITEP_A1 LUBZ01	Polyribonucleotide_nucleotidyltransferase__EC_2.7.7.8_	2
BGC0000188_ABI75120	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0000188_ABI75120	Natural Products	1
BGC0000928_ABI75120	Recruited Enzyme (MIBiG)	Blue	circle	BGC BGC0000928_ABI75120	Natural Products	1
6666666_212172_2951	Central metabolism	Red	circle	Cylindrospermopsis raciborskii CS_505 CS_505 ACYA01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212292_1675	Central metabolism	Red	circle	Cylindrospermopsis raciborskii CS505 CS505 LYXA01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212067_3098	Central metabolism	Red	circle	Cylindrospermopsis sp CR12 CR12 LMVE01	tRNA_Ile__lysidine_synthetase__EC_6.3.4.19_	2
6666666_212313_3339	Central metabolism	Red	circle	Sphaerospermopsis aphanizomenoides BCCUSP55 BCCUSP55 LUFH01	cAMP_binding_proteins___catabolite_gene_activator_and_regulatory_subunit_of_cAMP_dependent_protein_kinases	2
6666666_212408_3757	Central metabolism	Red	circle	Nostoc azollae 0708 CP002059.1	Mutator_mutT_protein__78_dihydro_8_oxoguanine_triphosphatase___EC_3.6.1.__	1
6666666_212112_648	Central metabolism	Red	circle	Chlorogloeopsis fritschii PCC 6912 PCC 6912 AJLN01	Mobile_element_protein	2
6666666_212069_2758	Central metabolism	Red	circle	Chlorogloeopsis fritschii PCC 9212 PCC 9212 AJLM01	FIG00874507_hypothetical_protein	2
6666666_212176_7731	Central metabolism	Red	circle	Fischerella sp PCC 9605 PCC 9605 ALVT01	hypothetical_protein	2
6666666_212185_1220	Central metabolism	Red	circle	Fischerella sp PCC 9431 PCC 9431 ALVX01	Glycolate_dehydrogenase__EC_1.1.99.14__subunit_GlcD	2
6666666_212201_1550	Central metabolism	Red	circle	Hapalosiphon sp MRB220 MRB220 LIRN01	CDP_diacylglycerol__glycerol_3_phosphate_3_phosphatidyltransferase__EC_2.7.8.5_	2
6666666_212114_5755	Central metabolism	Red	circle	Fischerella muscicola SAG 1427_1 = PCC 73103 SAG 1427_1 = PCC 73103 AJLJ01	hypothetical_protein	2
6666666_212152_676	Central metabolism	Red	circle	Mastigocladus laminosus UU774 UU774 JXIJ01	Ferredoxin	2
6666666_212191_3520	Central metabolism	Red	circle	Fischerella muscicola PCC 7414 PCC 7414 AJLK01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212480_2317	Central metabolism	Red	circle	Fischerella sp. NIES-3754 AP017305.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212367_5040	Central metabolism	Red	circle	Fischerella sp JSC_11 JSC_11 AGIZ01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212365_1246	Central metabolism	Red	circle	Fischerella thermalis PCC 7521 PCC 7521 AJLL01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212278_3899	Central metabolism	Red	circle	Richelia intracellularis RC01 CBZS01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212115_612	Central metabolism	Red	circle	Richelia intracellularis HH01 HH01 CAIY01	serine_threonine_kinase	2
6666666_212101_1623	Central metabolism	Red	circle	Richelia intracellularis HM01 HM01 CAIS01	Single_stranded_DNA_binding_protein	1
6666666_212095_5955	Central metabolism	Red	circle	Calothrix sp PCC 7103 PCC 7103 ALVJ01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212483_4869	Central metabolism	Red	circle	Calothrix sp. PCC 6303 CP003610.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212469_1234	Central metabolism	Red	circle	Rivularia sp. PCC 7116 CP003549.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212411_4477	Central metabolism	Red	circle	Calothrix sp. 336/3 CP011382.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	1
6666666_212166_5398	Central metabolism	Red	circle	Mastigocoleus testarum BC008 BC008 LMTZ01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	3
6666666_212321_633	Central metabolism	Red	circle	Mastigocoleus testarum BC008 BC008 AXAQ01	Biopolymer_transport_protein_ExbD_TolR	5
6666666_212256_4092	Central metabolism	Red	circle	Synechocystis sp PCC 7509 PCC 7509 ALVU02	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212289_2127	Central metabolism	Red	circle	Aliterella atlantica CENA595 CENA595 JYON01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212436_2183	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Chroococcidiopsis thermalis PCC 7203 CP003597.1	2_methyl_6_phytyl_14_benzoquinone_cyclase	2
6666666_212487_2173	Central metabolism	Red	circle	Crinalium epipsammum PCC 9333 CP003620.1	hypothetical_protein	1
6666666_212430_3576	Central metabolism	Red	circle	Microcoleus sp. PCC 7113 CP003630.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212082_2978	Central metabolism	Red	circle	Coleofasciculus chthonoplastes PCC 7420 PCC 7420 ABRS01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212060_1311	Central metabolism	Red	circle	Moorea producens 3L 3L AEPQ01	Probable_methyltransferase	2
6666666_212302_125	Central metabolism	Red	circle	Oscillatoria sp PCC 10802 PCC 10802 ANKO01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212333_5892	Central metabolism	Red	circle	Planktothricoides sp SR001 SR001 LIUQ01	tRNA_nucleotidyltransferase_A_adding__EC_2.7.7.25_	2
6666666_212473_5398	Central metabolism	Red	circle	Oscillatoria acuminata PCC 6304 CP003607.1	phospholipase_carboxylesterase	2
6666666_212409_4649	Central metabolism	Red	circle	Trichodesmium erythraeum IMS101 CP000393.1	hypothetical_protein	1
6666666_212164_538	Central metabolism	Red	circle	Trichodesmium erythraeum 21_75 LADK01	periplasmic_solute_binding_protein	1
6666666_212154_3229	Central metabolism	Red	circle	Oscillatoriales cyanobacterium JSC_12 JSC_12 AJUB01	2_hydroxy_3_oxopropionate_reductase__EC_1.1.1.60_	1
6666666_212135_234	Central metabolism	Red	circle	Phormidium sp OSCR LJZT01	hypothetical_protein	1
6666666_212143_224	Transition Enzyme (antiSMASH and Central metabolism)	Purple	circle	Phormidium willei BDU 130791 BDU 130791 LSZA01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	1
6666666_212150_1640	Central metabolism	Red	circle	Geitlerinema sp PCC 7105 PCC 7105 ANFQ01	hypothetical_protein	2
6666666_212358_2235	Central metabolism	Red	circle	Geitlerinema sp BBD 1991_9 LWRO01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	3
6666666_212130_5155	Central metabolism	Red	circle	Limnoraphis robusta CS_951 CS_951 LATL02	Tryptophan_rich_protein_DUF2389_Ssr2843_homolog	1
6666666_212303_1465	Central metabolism	Red	circle	Lyngbya sp PCC 8106 PCC 8106 AAVU01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	1
6666666_212337_777	Central metabolism	Red	circle	Lyngbya aestuarii BL J BL J AUZM01	Acetyltransferase__GNAT__family_Syn7942_2240_homolog	1
6666666_212097_3365	Central metabolism	Red	circle	Arthrospira maxima CS_328 CS_328 ABYK01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	1
6666666_212207_2463	Central metabolism	Red	circle	Arthrospira platensis C1 C1 AFXD01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	1
6666666_212425_4942	Central metabolism	Red	circle	Arthrospira sp. PCC 8005 FO818640.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	1
6666666_212073_2308	Central metabolism	Red	circle	Arthrospira sp TJSD091 TJSD091 LAYT01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	1
6666666_212098_2971	Central metabolism	Red	circle	Arthrospira sp PCC 8005 PCC 8005 CAFN01	TsaC_protein__YrdC_domain__required_for_threonylcarbamoyladenosine_t_6_A37_modification_in_tRNA	1
6666666_212276_579	Central metabolism	Red	circle	Arthrospira platensis str Paraca Paraca ACSK03	hypothetical_protein	1
6666666_212441_5528	Central metabolism	Red	circle	Arthrospira platensis YZ CP013008.1	hypothetical_protein	1
6666666_212434_2573	Central metabolism	Red	circle	Arthrospira platensis NIES-39 AP011615.1	hypothetical_protein	1
6666666_212113_3305	Central metabolism	Red	circle	Planktothrix prolifica NIVA_CYA 406 NIVA_CYA 406 AVFV01	FIG145533_Methyltransferase__EC_2.1.1.__	2
6666666_212263_2399	Central metabolism	Red	circle	Planktothrix rubescens NIVA_CYA 407 NIVA_CYA 407 AVFW01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212118_2280	Central metabolism	Red	circle	Planktothrix prolifica NIVA_CYA 98 NIVA_CYA 98 AVFZ01	hypothetical_protein	2
6666666_212416_4350	Central metabolism	Red	circle	Planktothrix agardhii NIVA-CYA 126/8 CM002803.1	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212088_4611	Central metabolism	Red	circle	Planktothrix prolifica NIVA_CYA 540 NIVA_CYA 540 AVFX01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212071_4806	Central metabolism	Red	circle	Planktothrix mougeotii NIVA_CYA 405 NIVA_CYA 405 AVFU01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212068_2327	Central metabolism	Red	circle	Planktothrix agardhii NIVA_CYA 15 NIVA_CYA 15 AVFS01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212273_4187	Central metabolism	Red	circle	Planktothrix agardhii NIVA_CYA 56/3 NIVA_CYA 56/3 AVFY01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212328_36	Central metabolism	Red	circle	Planktothrix agardhii NIVA_CYA 34 NIVA_CYA 34 AVFT01	Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_	2
6666666_212399_2075	Central metabolism	Red	circle	Geitlerinema sp. PCC 7407 CP003591.1	D_alanyl_D_alanine_dipeptidase__EC_3.4.13.22_	1
6666666_212183_1175	Central metabolism	Red	circle	Prochlorothrix hollandica PCC 9006 AJTX02	Protein_of_unknown_function_DUF393	2
