Enzyme	BGC	Function	Order	Type
Enzyme_50	calcium-dependent_antibiotic	FIG01125970: hypothetical protein	50	Secondary
Enzyme_51	calcium-dependent_antibiotic	FIG01122924: hypothetical protein	51	Secondary
Enzyme_52	calcium-dependent_antibiotic	FIG01124815: hypothetical protein	52	Secondary
Enzyme_53	calcium-dependent_antibiotic	FIG01127693: hypothetical protein	53	Secondary
Enzyme_54	calcium-dependent_antibiotic	putaive isomerase	54	Secondary
Enzyme_55	calcium-dependent_antibiotic	FIG00557539: hypothetical protein	55	Secondary
Enzyme_56	calcium-dependent_antibiotic	Inositol-1-phosphate synthase (EC 5.5.1.4)	56	Secondary
Enzyme_57	calcium-dependent_antibiotic	secreted protein	57	Secondary
Enzyme_58	calcium-dependent_antibiotic	Salicylate hydroxylase (EC 1.14.13.1)	58	Secondary
Enzyme_59	calcium-dependent_antibiotic	3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)	59	Secondary
Enzyme_60	calcium-dependent_antibiotic	FIG01132699: hypothetical protein	60	Secondary
Enzyme_61	calcium-dependent_antibiotic	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)	61	Secondary
Enzyme_62	calcium-dependent_antibiotic	Acyl carrier protein	62	Secondary
Enzyme_162	coelibactin	2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58)	162	Secondary
Enzyme_163	coelibactin	iron aquisition yersiniabactin synthesis enzyme (Irp2)	163	Secondary
Enzyme_164	coelibactin	Siderophore biosynthesis non-ribosomal peptide synthetase modules	164	Secondary
Enzyme_165	coelibactin	Putative reductoisomerase in siderophore biosynthesis gene cluster	165	Secondary
Enzyme_166	coelibactin	Thiazolinyl imide reductase in siderophore biosynthesis gene cluster	166	Secondary
Enzyme_167	coelibactin	putative cytochrome P450 hydroxylase	167	Secondary
Enzyme_168	coelibactin	Thioesterase in siderophore biosynthesis gene cluster	168	Secondary
Enzyme_169	coelibactin	FIG01124013: hypothetical protein	169	Secondary
Enzyme_170	coelibactin	Transport ATP-binding protein CydC	170	Secondary
Enzyme_171	coelibactin	Putative ABC iron siderophore transporter, fused permease and ATPase domains	171	Secondary
Enzyme_172	coelibactin	Anthranilate synthase, aminase component (EC 4.1.3.27)	172	Secondary
Enzyme_63	coelichelin	Polymyxin synthetase PmxB	63	Secondary
Enzyme_64	coelichelin	putative esterase	64	Secondary
Enzyme_65	coelichelin	ABC transporter transmembrane protein	65	Secondary
Enzyme_66	coelichelin	Siderophore biosynthesis non-ribosomal peptide synthetase modules	66	Secondary
Enzyme_67	coelichelin	FIG01120908: hypothetical protein	67	Secondary
Enzyme_68	coelichelin	iron-siderophore binding lipoprotein	68	Secondary
Enzyme_69	coelichelin	ABC-type Fe3+-siderophore transport system, ATPase component	69	Secondary
Enzyme_70	coelichelin	ABC-type Fe3+-siderophore transport system, permease 2 component	70	Secondary
Enzyme_71	coelichelin	ABC-type Fe3+-siderophore transport system, permease component	71	Secondary
Enzyme_72	coelichelin	Siderophore biosynthesis protein, monooxygenase	72	Secondary
Enzyme_73	coelichelin	formyltransferase	73	Secondary
Enzyme_121	coelimycin	Transcriptional regulator, TetR family	121	Secondary
Enzyme_122	coelimycin	A-factor biosynthesis protein AfsA	122	Secondary
Enzyme_123	coelimycin	FIG01122353: hypothetical protein	123	Secondary
Enzyme_124	coelimycin	putative two-component system sensor kinase	124	Secondary
Enzyme_125	coelimycin	2-oxoglutarate oxidoreductase, beta subunit (EC 1.2.7.3)	125	Secondary
Enzyme_126	coelimycin	2-oxoglutarate oxidoreductase, alpha subunit (EC 1.2.7.3)	126	Secondary
Enzyme_127	coelimycin	Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14) / Biotin carboxyl carrier protein of acetyl-CoA carboxylase	127	Secondary
Enzyme_128	coelimycin	FIG01129816: hypothetical protein	128	Secondary
Enzyme_129	coelimycin	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	129	Secondary
Enzyme_130	coelimycin	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	130	Secondary
Enzyme_131	coelimycin	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	131	Secondary
Enzyme_132	coelimycin	secreted protein	132	Secondary
Enzyme_133	coelimycin	Epoxide hydrolase (EC 3.3.2.9)	133	Secondary
Enzyme_134	coelimycin	Antiseptic resistance protein QacA	134	Secondary
Enzyme_135	coelimycin	Acetylornithine aminotransferase (EC 2.6.1.11)	135	Secondary
Enzyme_136	coelimycin	Cys-tRNA(Pro) deacylase YbaK	136	Secondary
Enzyme_137	coelimycin	secreted FAD-binding protein	137	Secondary
Enzyme_138	coelimycin	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	138	Secondary
Enzyme_139	coelimycin	FIG01131835: hypothetical protein	139	Secondary
Enzyme_140	coelimycin	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2); Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)	140	Secondary
Enzyme_141	coelimycin	hypothetical protein	141	Secondary
Enzyme_142	coelimycin	FIG01121841: hypothetical protein	142	Secondary
Enzyme_143	coelimycin	Thioesterase in siderophore biosynthesis gene cluster	143	Secondary
Enzyme_144	coelimycin	FIG01136508: hypothetical protein	144	Secondary
Enzyme_17	desferrioxamine_B	Putative Desferrioxamine E transporter	17	Secondary
Enzyme_18	desferrioxamine_B	Hypothetical protein associated with desferrioxamine E biosynthesis	18	Secondary
Enzyme_19	desferrioxamine_B	Desferrioxamine E biosynthesis protein DesA @ Siderophore biosynthesis L-2,4-diaminobutyrate decarboxylase	19	Secondary
Enzyme_20	desferrioxamine_B	Desferrioxamine E biosynthesis protein DesB @ Siderophore biosynthesis protein, monooxygenase	20	Secondary
Enzyme_21	desferrioxamine_B	Desferrioxamine E biosynthesis protein DesC @ Siderophore synthetase small component, acetyltransferase	21	Secondary
Enzyme_22	desferrioxamine_B	Desferrioxamine E biosynthesis protein DesD @ Siderophore synthetase superfamily, group C @ Siderophore synthetase component, ligase	22	Secondary
Enzyme_120	geosmin	FIG01124023: hypothetical protein	120	Secondary
Enzyme_149	hopene	Phytoene synthase (EC 2.5.1.32)	149	Secondary
Enzyme_150	hopene	Phytoene synthase (EC 2.5.1.32)	150	Secondary
Enzyme_151	hopene	hypothetical protein	151	Secondary
Enzyme_152	hopene	Phytoene desaturase, pro-zeta-carotene producing (EC 1.-.-.-)	152	Secondary
Enzyme_153	hopene	Octaprenyl diphosphate synthase (EC 2.5.1.90); Dimethylallyltransferase (EC 2.5.1.1); (2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.10); Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29)	153	Secondary
Enzyme_154	hopene	Squalene--hopene cyclase (EC 5.4.99.17)	154	Secondary
Enzyme_155	hopene	hypothetical protein Bcep3774, commonly clustered with carotenoid biosynthesis	155	Secondary
Enzyme_156	hopene	Radical SAM protein required for addition of adenosine to hopane skeleton, HpnH	156	Secondary
Enzyme_157	hopene	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	157	Secondary
Enzyme_158	hopene	1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	158	Secondary
Enzyme_159	hopene	Aminotransferase HpnO, required for aminobacteriohopanetriol	159	Secondary
Enzyme_160	hopene	putative DNA-binding protein	160	Secondary
Enzyme_161	hopene	hypothetical protein	161	Secondary
Enzyme_15	melanin	tyrosinase (monophenol monooxygenase)	15	Secondary
Enzyme_16	melanin	tyrosinase co-factor	16	Secondary
Enzyme_173	methylenomycin	NADH-FMN oxidoreductase	173	Secondary
Enzyme_174	methylenomycin	hypothetical protein	174	Secondary
Enzyme_175	methylenomycin	DNA-binding protein	175	Secondary
Enzyme_176	methylenomycin	Predicted dinucleotide-binding enzymes	176	Secondary
Enzyme_177	methylenomycin	2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)	177	Secondary
Enzyme_178	methylenomycin	AvrD protein	178	Secondary
Enzyme_179	methylenomycin	putative ATP/GTP-binding protein, MmyX	179	Secondary
Enzyme_180	methylenomycin	3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)	180	Secondary
Enzyme_181	methylenomycin	putative acyl carrier protein, MmyA	181	Secondary
Enzyme_182	methylenomycin	Phosphoserine phosphatase	182	Secondary
Enzyme_183	methylenomycin	putative ATP/GTP-binding protein, MmyX	183	Secondary
Enzyme_184	methylenomycin	Permeases of the major facilitator superfamily	184	Secondary
Enzyme_185	methylenomycin	Transcriptional regulator, ArsR family	185	Secondary
Enzyme_186	methylenomycin	putative oxidoreductase	186	Secondary
Enzyme_187	methylenomycin	Limonene 1,2-monooxygenase	187	Secondary
Enzyme_188	methylenomycin	Thioesterase	188	Secondary
Enzyme_189	methylenomycin	Transcriptional regulator, TetR family	189	Secondary
Enzyme_190	methylenomycin	A-factor biosynthesis protein AfsA	190	Secondary
Enzyme_191	methylenomycin	Pigment protein	191	Secondary
Enzyme_192	methylenomycin	Phosphoserine phosphatase	192	Secondary
Enzyme_193	methylenomycin	Transcriptional regulator MmyR, TetR family	193	Secondary
Enzyme_145	sapB	Lanthionine biosynthesis protein LanL	145	Secondary
Enzyme_146	sapB	Lanthionine precursor peptide LanA	146	Secondary
Enzyme_147	sapB	FIG01133883: hypothetical protein	147	Secondary
Enzyme_148	sapB	FIG01121693: hypothetical protein	148	Secondary
Enzyme_1	SCO-2138	FIG01129357: hypothetical protein	1	Secondary
Enzyme_2	SCO-2138	Gluconolactonase (EC 3.1.1.17)	2	Secondary
Enzyme_3	SCO-2138	Transcriptional regulator, IclR family	3	Secondary
Enzyme_4	SCO-2138	FIG01121703: hypothetical protein	4	Secondary
Enzyme_5	SCO-2138	Transcriptional regulator, GntR family	5	Secondary
Enzyme_6	SCO-2138	Dicarboxylate carrier protein	6	Secondary
Enzyme_7	SCO-2138	putative fatty acid synthase	7	Secondary
Enzyme_8	SCO-2138	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	8	Secondary
Enzyme_9	SCO-2138	putative secreted peptidase	9	Secondary
Enzyme_10	SCO-2138	FIG01131749: hypothetical protein	10	Secondary
Enzyme_11	SCO-2138	hypothetical protein	11	Secondary
Enzyme_12	SCO-2138	MoxR-like ATPases	12	Secondary
Enzyme_13	SCO-2138	FIG01122502: hypothetical protein	13	Secondary
Enzyme_14	SCO-2138	Rod shape-determining protein MreB	14	Secondary
Enzyme_100	undecylprodigiosin	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	100	Secondary
Enzyme_101	undecylprodigiosin	RedY protein	101	Secondary
Enzyme_102	undecylprodigiosin	two-component system response regulator	102	Secondary
Enzyme_103	undecylprodigiosin	RedV protein	103	Secondary
Enzyme_104	undecylprodigiosin	FIG01126548: hypothetical protein	104	Secondary
Enzyme_105	undecylprodigiosin	hypothetical protein	105	Secondary
Enzyme_106	undecylprodigiosin	hypothetical protein	106	Secondary
Enzyme_107	undecylprodigiosin	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)	107	Secondary
Enzyme_108	undecylprodigiosin	Acyl carrier protein	108	Secondary
Enzyme_109	undecylprodigiosin	3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)	109	Secondary
Enzyme_110	undecylprodigiosin	Acyl carrier protein	110	Secondary
Enzyme_111	undecylprodigiosin	Aminotransferase class II, serine palmitoyltransferase like (EC 2.3.1.50)	111	Secondary
Enzyme_112	undecylprodigiosin	non-ribosomal peptide synthetase	112	Secondary
Enzyme_113	undecylprodigiosin	Capsular polysaccharide biosynthesis fatty acid synthase WcbR	113	Secondary
Enzyme_114	undecylprodigiosin	probable oxidoreductase	114	Secondary
Enzyme_115	undecylprodigiosin	putative thioesterase	115	Secondary
Enzyme_116	undecylprodigiosin	putative methyltransferase	116	Secondary
Enzyme_117	undecylprodigiosin	Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	117	Secondary
Enzyme_118	undecylprodigiosin	Rieske (2Fe-2S) domain protein	118	Secondary
Enzyme_119	undecylprodigiosin	FIG01125690: hypothetical protein	119	Secondary
Enzyme_98	undecylprodigiosin	FIG01131857: hypothetical protein	98	Secondary
Enzyme_99	undecylprodigiosin	FIG01134662: hypothetical protein	99	Secondary
