Enzyme	BGC	Function	Order
Enzyme_28	calcium-dependent_antibiotic	hypothetical protein	28
Enzyme_29	calcium-dependent_antibiotic	Cation-transporting ATPase, E1-E2 family	29
Enzyme_30	calcium-dependent_antibiotic	FIG01132787: hypothetical protein	30
Enzyme_31	calcium-dependent_antibiotic	Polymyxin synthetase PmxB	31
Enzyme_32	calcium-dependent_antibiotic	putative lipase (putative secreted protein)	32
Enzyme_33	calcium-dependent_antibiotic	putative secreted protein	33
Enzyme_34	calcium-dependent_antibiotic	Arogenate dehydrogenase (EC 1.3.1.43)	34
Enzyme_35	calcium-dependent_antibiotic	secreted protein	35
Enzyme_36	calcium-dependent_antibiotic	Thiamin ABC transporter, transmembrane component	36
Enzyme_37	calcium-dependent_antibiotic	putative ABC transporter ATP-binding protein	37
Enzyme_38	calcium-dependent_antibiotic	two component sensor kinase	38
Enzyme_39	calcium-dependent_antibiotic	DNA-binding response regulator, LuxR family	39
Enzyme_40	calcium-dependent_antibiotic	putative aminotransferase	40
Enzyme_41	calcium-dependent_antibiotic	(S)-2-hydroxy-acid oxidase (EC 1.1.3.15)	41
Enzyme_42	calcium-dependent_antibiotic	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	42
Enzyme_43	calcium-dependent_antibiotic	Siderophore biosynthesis non-ribosomal peptide synthetase modules @ Bacillibactin synthetase component F (EC 2.7.7.-)	43
Enzyme_44	calcium-dependent_antibiotic	Siderophore biosynthesis non-ribosomal peptide synthetase modules @ Bacillibactin synthetase component F (EC 2.7.7.-)	44
Enzyme_45	calcium-dependent_antibiotic	Siderophore biosynthesis non-ribosomal peptide synthetase modules @ Bacillibactin synthetase component F (EC 2.7.7.-)	45
Enzyme_46	calcium-dependent_antibiotic	Beta-ketoadipate enol-lactone hydrolase (EC 3.1.1.24)	46
Enzyme_47	calcium-dependent_antibiotic	phosphotransferase	47
Enzyme_48	calcium-dependent_antibiotic	ABC transporter, NBP/MSD fusion protein	48
Enzyme_49	calcium-dependent_antibiotic	putative oxygenase (putative secreted protein)	49
Enzyme_50	calcium-dependent_antibiotic	FIG01125970: hypothetical protein	50
Enzyme_51	calcium-dependent_antibiotic	FIG01122924: hypothetical protein	51
Enzyme_52	calcium-dependent_antibiotic	FIG01124815: hypothetical protein	52
Enzyme_53	calcium-dependent_antibiotic	FIG01127693: hypothetical protein	53
Enzyme_54	calcium-dependent_antibiotic	putaive isomerase	54
Enzyme_55	calcium-dependent_antibiotic	FIG00557539: hypothetical protein	55
Enzyme_56	calcium-dependent_antibiotic	Inositol-1-phosphate synthase (EC 5.5.1.4)	56
Enzyme_57	calcium-dependent_antibiotic	secreted protein	57
Enzyme_58	calcium-dependent_antibiotic	Salicylate hydroxylase (EC 1.14.13.1)	58
Enzyme_59	calcium-dependent_antibiotic	3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)	59
Enzyme_60	calcium-dependent_antibiotic	FIG01132699: hypothetical protein	60
Enzyme_61	calcium-dependent_antibiotic	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)	61
Enzyme_62	calcium-dependent_antibiotic	Acyl carrier protein	62
Enzyme_162	coelibactin	2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58)	162
Enzyme_163	coelibactin	iron aquisition yersiniabactin synthesis enzyme (Irp2)	163
Enzyme_164	coelibactin	Siderophore biosynthesis non-ribosomal peptide synthetase modules	164
Enzyme_165	coelibactin	Putative reductoisomerase in siderophore biosynthesis gene cluster	165
Enzyme_166	coelibactin	Thiazolinyl imide reductase in siderophore biosynthesis gene cluster	166
Enzyme_167	coelibactin	putative cytochrome P450 hydroxylase	167
Enzyme_168	coelibactin	Thioesterase in siderophore biosynthesis gene cluster	168
Enzyme_169	coelibactin	FIG01124013: hypothetical protein	169
Enzyme_170	coelibactin	Transport ATP-binding protein CydC	170
Enzyme_171	coelibactin	Putative ABC iron siderophore transporter, fused permease and ATPase domains	171
Enzyme_172	coelibactin	Anthranilate synthase, aminase component (EC 4.1.3.27)	172
Enzyme_63	coelichelin	Polymyxin synthetase PmxB	63
Enzyme_64	coelichelin	putative esterase	64
Enzyme_65	coelichelin	ABC transporter transmembrane protein	65
Enzyme_66	coelichelin	Siderophore biosynthesis non-ribosomal peptide synthetase modules	66
Enzyme_67	coelichelin	FIG01120908: hypothetical protein	67
Enzyme_68	coelichelin	iron-siderophore binding lipoprotein	68
Enzyme_69	coelichelin	ABC-type Fe3+-siderophore transport system, ATPase component	69
Enzyme_70	coelichelin	ABC-type Fe3+-siderophore transport system, permease 2 component	70
Enzyme_71	coelichelin	ABC-type Fe3+-siderophore transport system, permease component	71
Enzyme_72	coelichelin	Siderophore biosynthesis protein, monooxygenase	72
Enzyme_73	coelichelin	formyltransferase	73
Enzyme_121	coelimycin	Transcriptional regulator, TetR family	121
Enzyme_122	coelimycin	A-factor biosynthesis protein AfsA	122
Enzyme_123	coelimycin	FIG01122353: hypothetical protein	123
Enzyme_124	coelimycin	putative two-component system sensor kinase	124
Enzyme_125	coelimycin	2-oxoglutarate oxidoreductase, beta subunit (EC 1.2.7.3)	125
Enzyme_126	coelimycin	2-oxoglutarate oxidoreductase, alpha subunit (EC 1.2.7.3)	126
Enzyme_127	coelimycin	Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14) / Biotin carboxyl carrier protein of acetyl-CoA carboxylase	127
Enzyme_128	coelimycin	FIG01129816: hypothetical protein	128
Enzyme_129	coelimycin	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	129
Enzyme_130	coelimycin	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	130
Enzyme_131	coelimycin	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	131
Enzyme_132	coelimycin	secreted protein	132
Enzyme_133	coelimycin	Epoxide hydrolase (EC 3.3.2.9)	133
Enzyme_134	coelimycin	Antiseptic resistance protein QacA	134
Enzyme_135	coelimycin	Acetylornithine aminotransferase (EC 2.6.1.11)	135
Enzyme_136	coelimycin	Cys-tRNA(Pro) deacylase YbaK	136
Enzyme_137	coelimycin	secreted FAD-binding protein	137
Enzyme_138	coelimycin	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	138
Enzyme_139	coelimycin	FIG01131835: hypothetical protein	139
Enzyme_140	coelimycin	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2); Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)	140
Enzyme_141	coelimycin	hypothetical protein	141
Enzyme_142	coelimycin	FIG01121841: hypothetical protein	142
Enzyme_143	coelimycin	Thioesterase in siderophore biosynthesis gene cluster	143
Enzyme_144	coelimycin	FIG01136508: hypothetical protein	144
Enzyme_17	desferrioxamine_B	Putative Desferrioxamine E transporter	17
Enzyme_18	desferrioxamine_B	Hypothetical protein associated with desferrioxamine E biosynthesis	18
Enzyme_19	desferrioxamine_B	Desferrioxamine E biosynthesis protein DesA @ Siderophore biosynthesis L-2,4-diaminobutyrate decarboxylase	19
Enzyme_20	desferrioxamine_B	Desferrioxamine E biosynthesis protein DesB @ Siderophore biosynthesis protein, monooxygenase	20
Enzyme_21	desferrioxamine_B	Desferrioxamine E biosynthesis protein DesC @ Siderophore synthetase small component, acetyltransferase	21
Enzyme_22	desferrioxamine_B	Desferrioxamine E biosynthesis protein DesD @ Siderophore synthetase superfamily, group C @ Siderophore synthetase component, ligase	22
Enzyme_120	geosmin	FIG01124023: hypothetical protein	120
Enzyme_149	hopene	Phytoene synthase (EC 2.5.1.32)	149
Enzyme_150	hopene	Phytoene synthase (EC 2.5.1.32)	150
Enzyme_151	hopene	hypothetical protein	151
Enzyme_152	hopene	Phytoene desaturase, pro-zeta-carotene producing (EC 1.-.-.-)	152
Enzyme_153	hopene	Octaprenyl diphosphate synthase (EC 2.5.1.90); Dimethylallyltransferase (EC 2.5.1.1); (2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.10); Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29)	153
Enzyme_154	hopene	Squalene--hopene cyclase (EC 5.4.99.17)	154
Enzyme_155	hopene	hypothetical protein Bcep3774, commonly clustered with carotenoid biosynthesis	155
Enzyme_156	hopene	Radical SAM protein required for addition of adenosine to hopane skeleton, HpnH	156
Enzyme_157	hopene	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	157
Enzyme_158	hopene	1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	158
Enzyme_159	hopene	Aminotransferase HpnO, required for aminobacteriohopanetriol	159
Enzyme_160	hopene	putative DNA-binding protein	160
Enzyme_161	hopene	hypothetical protein	161
Enzyme_15	melanin	tyrosinase (monophenol monooxygenase)	15
Enzyme_16	melanin	tyrosinase co-factor	16
Enzyme_173	methylenomycin	NADH-FMN oxidoreductase	173
Enzyme_174	methylenomycin	hypothetical protein	174
Enzyme_175	methylenomycin	DNA-binding protein	175
Enzyme_176	methylenomycin	Predicted dinucleotide-binding enzymes	176
Enzyme_177	methylenomycin	2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)	177
Enzyme_178	methylenomycin	AvrD protein	178
Enzyme_179	methylenomycin	putative ATP/GTP-binding protein, MmyX	179
Enzyme_180	methylenomycin	3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)	180
Enzyme_181	methylenomycin	putative acyl carrier protein, MmyA	181
Enzyme_182	methylenomycin	Phosphoserine phosphatase	182
Enzyme_183	methylenomycin	putative ATP/GTP-binding protein, MmyX	183
Enzyme_184	methylenomycin	Permeases of the major facilitator superfamily	184
Enzyme_185	methylenomycin	Transcriptional regulator, ArsR family	185
Enzyme_186	methylenomycin	putative oxidoreductase	186
Enzyme_187	methylenomycin	Limonene 1,2-monooxygenase	187
Enzyme_188	methylenomycin	Thioesterase	188
Enzyme_189	methylenomycin	Transcriptional regulator, TetR family	189
Enzyme_190	methylenomycin	A-factor biosynthesis protein AfsA	190
Enzyme_191	methylenomycin	Pigment protein	191
Enzyme_192	methylenomycin	Phosphoserine phosphatase	192
Enzyme_193	methylenomycin	Transcriptional regulator MmyR, TetR family	193
Enzyme_145	sapB	Lanthionine biosynthesis protein LanL	145
Enzyme_146	sapB	Lanthionine precursor peptide LanA	146
Enzyme_147	sapB	FIG01133883: hypothetical protein	147
Enzyme_148	sapB	FIG01121693: hypothetical protein	148
Enzyme_1	SCO-2138	FIG01129357: hypothetical protein	1
Enzyme_2	SCO-2138	Gluconolactonase (EC 3.1.1.17)	2
Enzyme_3	SCO-2138	Transcriptional regulator, IclR family	3
Enzyme_4	SCO-2138	FIG01121703: hypothetical protein	4
Enzyme_5	SCO-2138	Transcriptional regulator, GntR family	5
Enzyme_6	SCO-2138	Dicarboxylate carrier protein	6
Enzyme_7	SCO-2138	putative fatty acid synthase	7
Enzyme_8	SCO-2138	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	8
Enzyme_9	SCO-2138	putative secreted peptidase	9
Enzyme_10	SCO-2138	FIG01131749: hypothetical protein	10
Enzyme_11	SCO-2138	hypothetical protein	11
Enzyme_12	SCO-2138	MoxR-like ATPases	12
Enzyme_13	SCO-2138	FIG01122502: hypothetical protein	13
Enzyme_14	SCO-2138	Rod shape-determining protein MreB	14
Enzyme_100	undecylprodigiosin	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	100
Enzyme_101	undecylprodigiosin	RedY protein	101
Enzyme_102	undecylprodigiosin	two-component system response regulator	102
Enzyme_103	undecylprodigiosin	RedV protein	103
Enzyme_104	undecylprodigiosin	FIG01126548: hypothetical protein	104
Enzyme_105	undecylprodigiosin	hypothetical protein	105
Enzyme_106	undecylprodigiosin	hypothetical protein	106
Enzyme_107	undecylprodigiosin	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)	107
Enzyme_108	undecylprodigiosin	Acyl carrier protein	108
Enzyme_109	undecylprodigiosin	3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)	109
Enzyme_110	undecylprodigiosin	Acyl carrier protein	110
Enzyme_111	undecylprodigiosin	Aminotransferase class II, serine palmitoyltransferase like (EC 2.3.1.50)	111
Enzyme_112	undecylprodigiosin	non-ribosomal peptide synthetase	112
Enzyme_113	undecylprodigiosin	Capsular polysaccharide biosynthesis fatty acid synthase WcbR	113
Enzyme_114	undecylprodigiosin	probable oxidoreductase	114
Enzyme_115	undecylprodigiosin	putative thioesterase	115
Enzyme_116	undecylprodigiosin	putative methyltransferase	116
Enzyme_117	undecylprodigiosin	Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	117
Enzyme_118	undecylprodigiosin	Rieske (2Fe-2S) domain protein	118
Enzyme_119	undecylprodigiosin	FIG01125690: hypothetical protein	119
Enzyme_98	undecylprodigiosin	FIG01131857: hypothetical protein	98
Enzyme_99	undecylprodigiosin	FIG01134662: hypothetical protein	99
